"Código","Longitud","Latitud"
"C0908","",""
"C0909","",""
"C0910","",""
"C0911","",""
"C0912","",""
"C0913","",""
"C0914","",""
"C0915","",""
"C0916","",""
"C0917","",""
"C0918","",""
"C0919","",""
"C0920","",""
"C0921","",""
"C0922","",""
"C0923","",""
"C0924","",""
"C0925","",""
"C0926","",""
"C0927","",""
"C0928","",""
"C0929","",""
"C0930","",""
"C0931","",""
"C0932","",""
"C0940","",""
"C0941","",""
"C0942","",""
"C0943","",""
"C1300","",""
"C1301","",""
"C1400","",""
"C1421","-4,018363","43,340902"
"C3140","",""
"C3143","",""
"C3530","-6,203347","39,880325"
"C3710","-3,675996","40,398281"
"C3711","",""
"C3712","",""
"C3713","",""
"C3714","",""
"C3715","-3,883628","39,266023"
"C3720","",""
"C3721","",""
"C3722","",""
"C3723","",""
"C3724","",""
"C3725","-3,680199","40,400697"
"C3726","",""
"C3727","",""
"C3728","",""
"C3729","",""
"C3770","",""
"C3771","",""
"C3772","",""
"C3773","",""
"C3775","-4,560601","38,023479"
"C3776","",""
"C3777","",""
"C3778","",""
"C3781","",""
"C3782","",""
"C3783","",""
"C3784","-5,306989","37,733872"
"C3785","",""
"C3786","",""
"C3788","",""
"C3789","",""
"C3790","",""
"C3793","",""
"C3794","",""
"C3795","",""
"C4001","",""
"C4002","",""
"C4003","-3,675889","40,387111"
"C4004","",""
"C4005","",""
"C4006","",""
"C4300","",""
"C4301","",""
"C4302","",""
"C4303","",""
"C4304","",""
"C4305","",""
"C4306","",""
"C4307","",""
"C4308","",""
"C4309","",""
"C4310","",""
"C4311","",""
"C4312","",""
"C4313","",""
"C4314","",""
"C4315","",""
"C4316","",""
"C4317","",""
"C4318","",""
"C4319","",""
"C4320","",""
"C4321","",""
"C4322","",""
"C4323","",""
"C5440","",""
"C5501","",""
"C6041","",""
"C6050","",""
"C6051","",""
"C6052","-1,192081","37,969793"
"C6070","",""
"C6071","",""
"C6100","-1,682709","38,719734"
"C6101","",""
"C6102","",""
"C6103","",""
"C6104","",""
"C6410","",""
"C6701","",""
"C7400","",""
"C7804","",""
"C7805","",""
"C7806","",""
"C8100","-2,505867","42,472083"
"C8401","",""
"C9210","-3,876938","39,928824"
"C9211","-3,856512","39,946545"
"D0002","",""
"D0003","",""
"D0004","",""
"D0101","",""
"D0103","",""
"D0104","",""
"D0105","",""
"D0106","",""
"D0502","",""
"D1111","",""
"D1301","",""
"D1303","",""
"D1422","",""
"D1423","",""
"D1505","",""
"D2012","",""
"D2013","",""
"D2022","",""
"D2031","",""
"D2032","",""
"D2033","",""
"D2034","",""
"D2036","",""
"D2037","",""
"D2038","",""
"D2202","",""
"D2203","",""
"D2211","",""
"D2213","",""
"D2214","",""
"D2301","",""
"D3001","",""
"D3011","",""
"D3012","",""
"D3121","",""
"D3122","",""
"D3124","",""
"D3133","",""
"D3135","",""
"D3137","",""
"D3302","",""
"D3401","-4,711953","40,673545"
"D3402","",""
"D3403","",""
"D3405","",""
"D3407","",""
"D3514","",""
"D3521","",""
"D3532","",""
"D3533","",""
"D3534","",""
"D3536","",""
"D3541","",""
"D3546","",""
"D3548","",""
"D3601","",""
"D3602","",""
"D3603","",""
"D3731","",""
"D3732","",""
"D3734","",""
"D3741","",""
"D3742","",""
"D3760","",""
"D4011","",""
"D4200","",""
"D4209","",""
"D4217","",""
"D4303","",""
"D5021","",""
"D5022","",""
"D5031","",""
"D5042","",""
"D5045","",""
"D5054","",""
"D5055","",""
"D5056","",""
"D5421","",""
"D5431","",""
"D5432","",""
"D5501","",""
"D5502","",""
"D5507","",""
"D5603","",""
"D5604","",""
"D5605","",""
"D5606","",""
"D5607","",""
"D5608","",""
"D5609","",""
"D5611","",""
"D5621","",""
"D5633","",""
"D5634","",""
"D5635","",""
"D5701","",""
"D5702","",""
"D5703","",""
"D5811","",""
"D6101","",""
"D6131","",""
"D6210","",""
"D6211","",""
"D6541","",""
"D6601","-3,084411","39,996072"
"D6602","",""
"D6603","",""
"D6604","",""
