Fecha	T.ida	T.vuelta
20240112	27113	27114
20240112	27114	27214
20240112	27214	21635
20240112	21635	
20240112	27213	27113
20240112	27113	27114
20240112	27114	27214
20240112	27214	21635
20240112	21635	
20240112	37068	21606
20240112	21606	27005
20240112	27005	21504
20240112	21504	21721
20240112	21721	27821
20240112	27821	27931
20240112	27931	21730
20240112	21730	35065
20240112	35065	21428
20240112	21428	21751
20240112	21751	27851
20240112	27851	27961
20240112	27961	21760
20240112	21760	21457
20240112	21457	
20240112	37068	21606
20240112	21606	27005
20240112	27005	21504
20240112	21504	21721
20240112	21721	27821
20240112	27821	27931
20240112	27931	21730
20240112	21730	35065
20240112	35065	21428
20240112	21428	21751
20240112	21751	27851
20240112	27851	27961
20240112	27961	21760
20240112	21760	21457
20240112	21457	
20240112	27007	21506
20240112	21506	21723
20240112	21723	27823
20240112	27823	27933
20240112	27933	21732
20240112	21732	35067
20240112	35067	21430
20240112	21430	21753
20240112	21753	27853
20240112	27853	27963
20240112	27963	21762
20240112	21762	21459
20240112	21459	37063
20240112	37063	
20240112	27007	21506
20240112	21506	21723
20240112	21723	27823
20240112	27823	27933
20240112	27933	21732
20240112	21732	35067
20240112	35067	21430
20240112	21430	21753
20240112	21753	27853
20240112	27853	27963
20240112	27963	21762
20240112	21762	21459
20240112	21459	37063
20240112	37063	
20240112	37072	21610
20240112	21610	21613
20240112	21613	27006
20240112	27006	27225
20240112	27225	27125
20240112	27125	27126
20240112	27126	27226
20240112	27226	27243
20240112	27243	27143
20240112	27143	27142
20240112	27142	27242
20240112	27242	
20240112	37072	21610
20240112	21610	21613
20240112	21613	27006
20240112	27006	27225
20240112	27225	27125
20240112	27125	27126
20240112	27126	27226
20240112	27226	27243
20240112	27243	27143
20240112	27143	27142
20240112	27142	27242
20240112	27242	
20240112	32801	35054
20240112	35054	21725
20240112	21725	27825
20240112	27825	27935
20240112	27935	21734
20240112	21734	35069
20240112	35069	21432
20240112	21432	21755
20240112	21755	27855
20240112	27855	27965
20240112	27965	21764
20240112	21764	
20240112	32801	35054
20240112	35054	21725
20240112	21725	27825
20240112	27825	27935
20240112	27935	21734
20240112	21734	35069
20240112	35069	21432
20240112	21432	21755
20240112	21755	27855
20240112	27855	27965
20240112	27965	21764
20240112	21764	
20240112	39075	21614
20240112	21614	21717
20240112	21717	27817
20240112	27817	27927
20240112	27927	21726
20240112	21726	35061
20240112	35061	21516
20240112	21516	21747
20240112	21747	27847
20240112	27847	27957
20240112	27957	21756
20240112	21756	32817
20240112	32817	39086
20240112	39086	
20240112	39075	21614
20240112	21614	21717
20240112	21717	27817
20240112	27817	27927
20240112	27927	21726
20240112	21726	35061
20240112	35061	21516
20240112	21516	21747
20240112	21747	27847
20240112	27847	27957
20240112	27957	21756
20240112	21756	32817
20240112	32817	39086
20240112	39086	
20240112	37081	32930
20240112	32930	21616
20240112	21616	21809
20240112	21809	39168
20240112	39168	
20240112	37081	32930
20240112	32930	21616
20240112	21616	21809
20240112	21809	39168
20240112	39168	
20240112	21405	21618
20240112	21618	21621
20240112	21621	27008
20240112	27008	35063
20240112	35063	21518
20240112	21518	21749
20240112	21749	27849
20240112	27849	27959
20240112	27959	21758
20240112	21758	21455
20240112	21455	37061
20240112	37061	
20240112	21405	21618
20240112	21618	21621
20240112	21621	27008
20240112	27008	35063
20240112	35063	21518
20240112	21518	21749
20240112	21749	27849
20240112	27849	27959
20240112	27959	21758
20240112	21758	21455
20240112	21455	37061
20240112	37061	
20240112	21704	21509
20240112	21509	32943
20240112	32943	21022
20240112	21022	21632
20240112	21632	27223
20240112	27223	27123
20240112	27123	27124
20240112	27124	27224
20240112	27224	27241
20240112	27241	32963
20240112	32963	21052
20240112	21052	21676
20240112	21676	
20240112	21704	21509
20240112	21509	32943
20240112	32943	21022
20240112	21022	21632
20240112	21632	27223
20240112	27223	27123
20240112	27123	27124
20240112	27124	27224
20240112	27224	27241
20240112	27241	32963
20240112	32963	21052
20240112	21052	21676
20240112	21676	
20240112	27100	27200
20240112	27200	21623
20240112	21623	
20240112	27100	27200
20240112	27200	21623
20240112	21623	
20240112	27102	27202
20240112	27202	27231
20240112	27231	27131
20240112	27131	27130
20240112	27130	27230
20240112	27230	21671
20240112	21671	32967
20240112	32967	
20240112	27102	27202
20240112	27202	27231
20240112	27231	27131
20240112	27131	27130
20240112	27130	27230
20240112	27230	21671
20240112	21671	32967
20240112	32967	
20240112	27104	27204
20240112	27204	27229
20240112	27229	27129
20240112	27129	
20240112	27104	27204
20240112	27204	27229
20240112	27229	27129
20240112	27129	
20240112	39083	21620
20240112	21620	27215
20240112	27215	27115
20240112	27115	27116
20240112	27116	27216
20240112	27216	21639
20240112	21639	32953
20240112	32953	32944
20240112	32944	21658
20240112	21658	21665
20240112	21665	32965
