"Subdirección","Código"
"RED DE ANCHO METRICO","C1644"
"RED DE ANCHO METRICO","C1645"
"RED DE ANCHO METRICO","C1646"
"RED DE ANCHO METRICO","C1647"
"RED DE ANCHO METRICO","C1648"
"RED DE ANCHO METRICO","C1649"
"RED DE ANCHO METRICO","C1650"
"RED DE ANCHO METRICO","C1651"
"RED DE ANCHO METRICO","C1652"
"RED DE ANCHO METRICO","C1653"
"RED DE ANCHO METRICO","C1654"
"RED DE ANCHO METRICO","C1655"
"RED DE ANCHO METRICO","C1656"
"RED DE ANCHO METRICO","C1657"
"RED DE ANCHO METRICO","C1658"
"RED DE ANCHO METRICO","C1659"
"RED DE ANCHO METRICO","C1660"
"RED DE ANCHO METRICO","C1661"
"RED DE ANCHO METRICO","C1662"
"RED DE ANCHO METRICO","C1663"
"RED DE ANCHO METRICO","C1664"
"RED DE ANCHO METRICO","C1665"
"RED DE ANCHO METRICO","C1666"
"RED DE ANCHO METRICO","C1667"
"RED DE ANCHO METRICO","C1668"
"RED DE ANCHO METRICO","C1669"
"RED DE ANCHO METRICO","C1670"
"RED DE ANCHO METRICO","C1671"
"RED DE ANCHO METRICO","C1672"
"RED DE ANCHO METRICO","C1673"
"RED DE ANCHO METRICO","C1674"
"RED DE ANCHO METRICO","C1675"
"RED DE ANCHO METRICO","C1676"
"","C1677"
"RED DE ANCHO METRICO","C1678"
"","C1679"
"RED DE ANCHO METRICO","C1680"
"RED DE ANCHO METRICO","C1681"
"RED DE ANCHO METRICO","C1682"
"RED DE ANCHO METRICO","C1683"
"RED DE ANCHO METRICO","C1684"
"RED DE ANCHO METRICO","C1685"
"RED DE ANCHO METRICO","C1686"
"RED DE ANCHO METRICO","C1687"
"RED DE ANCHO METRICO","C1688"
"RED DE ANCHO METRICO","C1689"
"RED DE ANCHO METRICO","C1690"
"RED DE ANCHO METRICO","C1691"
"RED DE ANCHO METRICO","C1692"
"RED DE ANCHO METRICO","C1693"
"RED DE ANCHO METRICO","C1694"
"RED DE ANCHO METRICO","C1695"
"RED DE ANCHO METRICO","C1696"
"RED DE ANCHO METRICO","C1697"
"RED DE ANCHO METRICO","C1698"
"RED DE ANCHO METRICO","C1699"
"RED DE ANCHO METRICO","C1700"
"RED DE ANCHO METRICO","C1701"
"","C1702"
"RED DE ANCHO METRICO","C1703"
"RED DE ANCHO METRICO","C1704"
"RED DE ANCHO METRICO","C1706"
"RED DE ANCHO METRICO","C1707"
"RED DE ANCHO METRICO","C1708"
"RED DE ANCHO METRICO","C1709"
"RED DE ANCHO METRICO","C1710"
"RED DE ANCHO METRICO","C1711"
"RED DE ANCHO METRICO","C1712"
"RED DE ANCHO METRICO","C1713"
"RED DE ANCHO METRICO","C1714"
"RED DE ANCHO METRICO","C1715"
"RED DE ANCHO METRICO","C1716"
"RED DE ANCHO METRICO","C1717"
"RED DE ANCHO METRICO","C1718"
"RED DE ANCHO METRICO","C1719"
"RED DE ANCHO METRICO","C1720"
"RC NORTE","C1721"
"RC NORTE","C1722"
"RED DE ANCHO METRICO","C1723"
"RED DE ANCHO METRICO","C1724"
"RED DE ANCHO METRICO","C1725"
"RED DE ANCHO METRICO","C1726"
"RED DE ANCHO METRICO","C1727"
"RED DE ANCHO METRICO","C1728"
"RED DE ANCHO METRICO","C1729"
"RED DE ANCHO METRICO","C1730"
"RED DE ANCHO METRICO","C1731"
"RED DE ANCHO METRICO","C1732"
"RED DE ANCHO METRICO","C1733"
"RED DE ANCHO METRICO","C1734"
"RED DE ANCHO METRICO","C1735"
"RED DE ANCHO METRICO","C1736"
"RED DE ANCHO METRICO","C1737"
"RED DE ANCHO METRICO","C1738"
"RED DE ANCHO METRICO","C1739"
"RED DE ANCHO METRICO","C1740"
"RED DE ANCHO METRICO","C1741"
"RED DE ANCHO METRICO","C1742"
"RED DE ANCHO METRICO","C1743"
"RED DE ANCHO METRICO","C1744"
"RED DE ANCHO METRICO","C1745"
"RED DE ANCHO METRICO","C1746"
"RED DE ANCHO METRICO","C1747"
"RED DE ANCHO METRICO","C1748"
"RED DE ANCHO METRICO","C1749"
"RED DE ANCHO METRICO","C1750"
"RED DE ANCHO METRICO","C1751"
"RED DE ANCHO METRICO","C1752"
"RED DE ANCHO METRICO","C1753"
"RED DE ANCHO METRICO","C1754"
"RED DE ANCHO METRICO","C1755"
"RED DE ANCHO METRICO","C1756"
"RED DE ANCHO METRICO","C1757"
"RED DE ANCHO METRICO","C1758"
"RED DE ANCHO METRICO","C1759"
"RED DE ANCHO METRICO","C1760"
"RED DE ANCHO METRICO","C1761"
"RED DE ANCHO METRICO","C1762"
"RED DE ANCHO METRICO","C1763"
"RED DE ANCHO METRICO","C1764"
"RED DE ANCHO METRICO","C1765"
"RED DE ANCHO METRICO","C1766"
"RED DE ANCHO METRICO","C1767"
"RED DE ANCHO METRICO","C1768"
"RED DE ANCHO METRICO","C1769"
"RED DE ANCHO METRICO","C1770"
"RED DE ANCHO METRICO","C1771"
"RED DE ANCHO METRICO","C1772"
"RED DE ANCHO METRICO","C1773"
"RED DE ANCHO METRICO","C1774"
"RED DE ANCHO METRICO","C1775"
"RED DE ANCHO METRICO","C1776"
"RED DE ANCHO METRICO","C5171"
"RED DE ANCHO METRICO","C5172"
"RED DE ANCHO METRICO","C5173"
"RED DE ANCHO METRICO","C5174"
"RED DE ANCHO METRICO","C5175"
"RED DE ANCHO METRICO","C5176"
"RED DE ANCHO METRICO","C5177"
"RED DE ANCHO METRICO","C5178"
"RED DE ANCHO METRICO","C5179"
"RED DE ANCHO METRICO","C5180"
"RED DE ANCHO METRICO","C5181"
"RED DE ANCHO METRICO","C5182"
"RED DE ANCHO METRICO","C5183"
"RED DE ANCHO METRICO","C5184"
"RED DE ANCHO METRICO","C5185"
"RED DE ANCHO METRICO","C5186"
"RED DE ANCHO METRICO","C5187"
"RED DE ANCHO METRICO","C5188"
"RED DE ANCHO METRICO","C5189"
"RED DE ANCHO METRICO","C5190"
"RED DE ANCHO METRICO","C5191"
"RED DE ANCHO METRICO","C5192"
"RED DE ANCHO METRICO","C5193"
"RED DE ANCHO METRICO","C5194"
"RED DE ANCHO METRICO","C5195"
"RED DE ANCHO METRICO","C5196"
"RED DE ANCHO METRICO","C5197"
"RED DE ANCHO METRICO","C5198"
"RED DE ANCHO METRICO","C5199"
"","C5200"
"RED DE ANCHO METRICO","C5201"
"RED DE ANCHO METRICO","C5202"
"RED DE ANCHO METRICO","C5203"
"RED DE ANCHO METRICO","C5204"
"RED DE ANCHO METRICO","C5205"
"RED DE ANCHO METRICO","C5206"
"RED DE ANCHO METRICO","C5207"
"RED DE ANCHO METRICO","C5208"
"RED DE ANCHO METRICO","C5209"
"RED DE ANCHO METRICO","C5210"
"RED DE ANCHO METRICO","C5211"
"RED DE ANCHO METRICO","C5212"
"RED DE ANCHO METRICO","C5213"
"RED DE ANCHO METRICO","C5214"
"RED DE ANCHO METRICO","C5215"
"RED DE ANCHO METRICO","C5216"
"RED DE ANCHO METRICO","C5217"
"RED DE ANCHO METRICO","C5218"
"RED DE ANCHO METRICO","C5219"
"RED DE ANCHO METRICO","C5220"
"RED DE ANCHO METRICO","C5221"
"RED DE ANCHO METRICO","C5222"
"RED DE ANCHO METRICO","C5223"
"RED DE ANCHO METRICO","C5224"
"RED DE ANCHO METRICO","C5225"
"RED DE ANCHO METRICO","C5226"
"RED DE ANCHO METRICO","C5227"
"RED DE ANCHO METRICO","C5228"
"RED DE ANCHO METRICO","C5229"
"RED DE ANCHO METRICO","C5230"
"RED DE ANCHO METRICO","C5231"
"RED DE ANCHO METRICO","C5232"
"RED DE ANCHO METRICO","C5233"
"RED DE ANCHO METRICO","C5234"
"RED DE ANCHO METRICO","C5235"
"RED DE ANCHO METRICO","C1777"
"RED DE ANCHO METRICO","C1778"
"RED DE ANCHO METRICO","C1779"
"RED DE ANCHO METRICO","C1780"
"RED DE ANCHO METRICO","C1781"
"RED DE ANCHO METRICO","C1782"
"RED DE ANCHO METRICO","C1783"
"RED DE ANCHO METRICO","C1784"
"RED DE ANCHO METRICO","C1785"
"RED DE ANCHO METRICO","C1786"
"RED DE ANCHO METRICO","C1787"
"RED DE ANCHO METRICO","C1788"
"RED DE ANCHO METRICO","C1789"
"RED DE ANCHO METRICO","C1790"
"RED DE ANCHO METRICO","C1791"
"RED DE ANCHO METRICO","C1792"
"RED DE ANCHO METRICO","C1793"
"RED DE ANCHO METRICO","C1794"
"RED DE ANCHO METRICO","C1795"
"RED DE ANCHO METRICO","C1796"
"RED DE ANCHO METRICO","C1797"
"RED DE ANCHO METRICO","C1799"
"RED DE ANCHO METRICO","C1800"
"RED DE ANCHO METRICO","C1801"
"RED DE ANCHO METRICO","C1802"
"RED DE ANCHO METRICO","C1803"
"RED DE ANCHO METRICO","C1804"
"RED DE ANCHO METRICO","C1805"
"RED DE ANCHO METRICO","C1806"
"RED DE ANCHO METRICO","C1807"
"RED DE ANCHO METRICO","C1808"
"RED DE ANCHO METRICO","C1809"
"RED DE ANCHO METRICO","C1810"
"RED DE ANCHO METRICO","C1811"
"RED DE ANCHO METRICO","C1812"
"RED DE ANCHO METRICO","C1813"
"RED DE ANCHO METRICO","C1814"
"RED DE ANCHO METRICO","C1815"
"RED DE ANCHO METRICO","C1816"
"RED DE ANCHO METRICO","C1817"
"RED DE ANCHO METRICO","C1818"
"RED DE ANCHO METRICO","C1819"
"RED DE ANCHO METRICO","C1820"
"RED DE ANCHO METRICO","C1821"
"RED DE ANCHO METRICO","C1822"
"RED DE ANCHO METRICO","C1823"
"RED DE ANCHO METRICO","C1824"
"RED DE ANCHO METRICO","C1825"
"RED DE ANCHO METRICO","C1826"
"RED DE ANCHO METRICO","C1827"
"RED DE ANCHO METRICO","C1828"
"RED DE ANCHO METRICO","C1829"
"RED DE ANCHO METRICO","C1830"
"RED DE ANCHO METRICO","C1831"
"RED DE ANCHO METRICO","C1832"
"RED DE ANCHO METRICO","C1833"
"RED DE ANCHO METRICO","C1834"
"RED DE ANCHO METRICO","C1835"
"RED DE ANCHO METRICO","C1836"
"RED DE ANCHO METRICO","C1837"
"RED DE ANCHO METRICO","C1838"
"RED DE ANCHO METRICO","C1839"
"RED DE ANCHO METRICO","C1840"
"RED DE ANCHO METRICO","C1841"
"RED DE ANCHO METRICO","C1842"
"RED DE ANCHO METRICO","C1843"
"RED DE ANCHO METRICO","C1844"
"RED DE ANCHO METRICO","C1845"
"RED DE ANCHO METRICO","C1846"
"RED DE ANCHO METRICO","C1847"
"RED DE ANCHO METRICO","C1848"
"RED DE ANCHO METRICO","C1849"
"RED DE ANCHO METRICO","C1850"
"RED DE ANCHO METRICO","C1851"
"RED DE ANCHO METRICO","C1852"
"RED DE ANCHO METRICO","C1853"
"RED DE ANCHO METRICO","C1854"
"RED DE ANCHO METRICO","C1855"
"RED DE ANCHO METRICO","C1856"
"RED DE ANCHO METRICO","C1857"
"RED DE ANCHO METRICO","C1858"
"RED DE ANCHO METRICO","C1859"
"RED DE ANCHO METRICO","C1860"
"RED DE ANCHO METRICO","C1861"
"RED DE ANCHO METRICO","C1862"
"RED DE ANCHO METRICO","C1863"
"RED DE ANCHO METRICO","C1864"
"RED DE ANCHO METRICO","C1865"
"RED DE ANCHO METRICO","C1866"
"RED DE ANCHO METRICO","C1867"
"RED DE ANCHO METRICO","C1868"
"RED DE ANCHO METRICO","C1869"
"RED DE ANCHO METRICO","C1870"
"RED DE ANCHO METRICO","C1871"
"RED DE ANCHO METRICO","C1872"
"RED DE ANCHO METRICO","C1873"
"RED DE ANCHO METRICO","C1874"
"RED DE ANCHO METRICO","C1875"
"RED DE ANCHO METRICO","C1876"
"RED DE ANCHO METRICO","C1877"
"RED DE ANCHO METRICO","C1878"
"RED DE ANCHO METRICO","C1879"
"RED DE ANCHO METRICO","C1880"
"RED DE ANCHO METRICO","C1881"
"RED DE ANCHO METRICO","C1882"
"RED DE ANCHO METRICO","C1883"
"RED DE ANCHO METRICO","C1884"
"RED DE ANCHO METRICO","C1885"
"RED DE ANCHO METRICO","C1886"
"RED DE ANCHO METRICO","C1887"
"RED DE ANCHO METRICO","C1888"
"RED DE ANCHO METRICO","C1889"
"RED DE ANCHO METRICO","C1890"
"RED DE ANCHO METRICO","C1891"
"RED DE ANCHO METRICO","C1892"
"RED DE ANCHO METRICO","C1893"
"RED DE ANCHO METRICO","C1894"
"RED DE ANCHO METRICO","C1895"
"RED DE ANCHO METRICO","C1896"
"RED DE ANCHO METRICO","C1897"
"RED DE ANCHO METRICO","C1898"
"RED DE ANCHO METRICO","C1899"
"RED DE ANCHO METRICO","C1900"
"RED DE ANCHO METRICO","C1901"
"RED DE ANCHO METRICO","C1902"
"RED DE ANCHO METRICO","C1904"
"RED DE ANCHO METRICO","C1905"
"RED DE ANCHO METRICO","C1906"
"RED DE ANCHO METRICO","C1907"
"RED DE ANCHO METRICO","C1908"
"RED DE ANCHO METRICO","C1909"
"RED DE ANCHO METRICO","C1910"
"RED DE ANCHO METRICO","C1911"
"RED DE ANCHO METRICO","C1912"
"RED DE ANCHO METRICO","C1913"
"RED DE ANCHO METRICO","C1914"
"RED DE ANCHO METRICO","C1915"
"RED DE ANCHO METRICO","C1916"
"RED DE ANCHO METRICO","C1917"
"RED DE ANCHO METRICO","C1918"
"RED DE ANCHO METRICO","C1919"
"RED DE ANCHO METRICO","C1920"
"RED DE ANCHO METRICO","C1921"
"RED DE ANCHO METRICO","C1922"
"RED DE ANCHO METRICO","C1923"
"RED DE ANCHO METRICO","C1924"
"RED DE ANCHO METRICO","C1925"
"RED DE ANCHO METRICO","C1926"
"RED DE ANCHO METRICO","C1927"
"RED DE ANCHO METRICO","C1928"
"RED DE ANCHO METRICO","C1929"
"RED DE ANCHO METRICO","C1930"
"RED DE ANCHO METRICO","C1931"
"RED DE ANCHO METRICO","C1932"
"RED DE ANCHO METRICO","C1933"
"RED DE ANCHO METRICO","C1934"
"RED DE ANCHO METRICO","C1935"
"RED DE ANCHO METRICO","C1936"
"RED DE ANCHO METRICO","C1937"
"RED DE ANCHO METRICO","C1938"
"RED DE ANCHO METRICO","C1939"
"RED DE ANCHO METRICO","C1940"
"RED DE ANCHO METRICO","C1941"
"RED DE ANCHO METRICO","C1942"
"RED DE ANCHO METRICO","C1943"
"RED DE ANCHO METRICO","C1944"
"RED DE ANCHO METRICO","C1945"
"RED DE ANCHO METRICO","C1946"
"RED DE ANCHO METRICO","C1947"
"RED DE ANCHO METRICO","C1948"
"RED DE ANCHO METRICO","C1949"
"RED DE ANCHO METRICO","C1950"
"RED DE ANCHO METRICO","C1951"
"RED DE ANCHO METRICO","C1952"
"RED DE ANCHO METRICO","C1953"
"RED DE ANCHO METRICO","C1954"
"RED DE ANCHO METRICO","C1955"
"RED DE ANCHO METRICO","C1956"
"RED DE ANCHO METRICO","C1957"
"RED DE ANCHO METRICO","C1958"
"RED DE ANCHO METRICO","C1959"
"RED DE ANCHO METRICO","C1960"
"RED DE ANCHO METRICO","C1961"
"RED DE ANCHO METRICO","C1962"
"RED DE ANCHO METRICO","C1963"
"RED DE ANCHO METRICO","C1964"
"RED DE ANCHO METRICO","C1965"
"RED DE ANCHO METRICO","C1966"
"RED DE ANCHO METRICO","C1967"
"RED DE ANCHO METRICO","C1968"
"RED DE ANCHO METRICO","C1969"
"RED DE ANCHO METRICO","C1970"
"RED DE ANCHO METRICO","C5236"
"RED DE ANCHO METRICO","C5237"
"RED DE ANCHO METRICO","C5238"
"RED DE ANCHO METRICO","C5239"
"RED DE ANCHO METRICO","C5240"
"RED DE ANCHO METRICO","C5241"
"RED DE ANCHO METRICO","C5242"
"RED DE ANCHO METRICO","C5243"
"RED DE ANCHO METRICO","C5244"
"RED DE ANCHO METRICO","C5245"
"RED DE ANCHO METRICO","C5246"
"RED DE ANCHO METRICO","C5247"
"RED DE ANCHO METRICO","C5248"
"RED DE ANCHO METRICO","C5249"
"RED DE ANCHO METRICO","C5250"
"RED DE ANCHO METRICO","C5251"
"RED DE ANCHO METRICO","C5252"
"RED DE ANCHO METRICO","C5253"
"RED DE ANCHO METRICO","C5254"
"RED DE ANCHO METRICO","C5255"
"RC NOROESTE","C5256"
"RED DE ANCHO METRICO","C5257"
"RED DE ANCHO METRICO","C5258"
"RC NOROESTE","C5259"
"RC NOROESTE","C5260"
"RED DE ANCHO METRICO","C5261"
"RED DE ANCHO METRICO","C5262"
"RED DE ANCHO METRICO","C5263"
"RED DE ANCHO METRICO","C5264"
"RED DE ANCHO METRICO","C5265"
"RED DE ANCHO METRICO","C5266"
"RED DE ANCHO METRICO","C5267"
"RED DE ANCHO METRICO","C5268"
"RED DE ANCHO METRICO","C5269"
"RED DE ANCHO METRICO","C5270"
"RED DE ANCHO METRICO","C5271"
"RED DE ANCHO METRICO","C5272"
"RED DE ANCHO METRICO","C5273"
"RED DE ANCHO METRICO","C5274"
"RED DE ANCHO METRICO","C1971"
"RED DE ANCHO METRICO","C1972"
"RED DE ANCHO METRICO","C1973"
"RED DE ANCHO METRICO","C1974"
"RED DE ANCHO METRICO","C1975"
"RED DE ANCHO METRICO","C1976"
"","C1977"
"","C1978"
"RED DE ANCHO METRICO","C1979"
"RED DE ANCHO METRICO","C1980"
"RED DE ANCHO METRICO","C1981"
"RED DE ANCHO METRICO","C1982"
"RC NOROESTE","A1983"
"RC NOROESTE","A1984"
"RED DE ANCHO METRICO","C4040"
"RED DE ANCHO METRICO","C4041"
"RC NOROESTE","A1703"
"RED DE ANCHO METRICO","C1401"
"RED DE ANCHO METRICO","C1402"
"RED DE ANCHO METRICO","C1983"
"RC NOROESTE","A1985"
"RC NOROESTE","A1986"
"RC NOROESTE","05295"
"RC NOROESTE","05301"
"RC NOROESTE","05319"
"RC NOROESTE","05355"
"RC NOROESTE","05377"
"RC NOROESTE","05387"
"RC NOROESTE","05413"
"RC NOROESTE","05431"
"RC NOROESTE","05441"
"RC NORTE","05471"
"RC NOROESTE","05785"
"RC NOROESTE","05790"
"RC NOROESTE","05797"
"RC ESTE","05953"
"RC ESTE","05967"
"RC NOROESTE","B2300"
"RC SUR","B5120"
"RC NORTE","C1160"
"RC NOROESTE","C3308"
"RC NORESTE","C7730"
"RC NORESTE","C7931"
"RC NORTE","C1161"
"RC NORESTE","C7932"
"RC ESTE","B6403"
"RC ESTE","B6405"
"RC ESTE","A6143"
"RC ESTE","B6406"
"RC NOROESTE","B1505"
"RC NORTE","B0602"
"RC NORTE","C8102"
"RED DE ALTA VELOCIDAD (RAV)","B0340"
"RED DE ALTA VELOCIDAD (RAV)","B0341"
"RED DE ALTA VELOCIDAD (RAV)","C0364"
"RED DE ALTA VELOCIDAD (RAV)","C0365"
"RED DE ALTA VELOCIDAD (RAV)","C0366"
"RED DE ALTA VELOCIDAD (RAV)","C0367"
"RED DE ALTA VELOCIDAD (RAV)","C6120"
"RED DE ALTA VELOCIDAD (RAV)","C6121"
"RED DE ALTA VELOCIDAD (RAV)","C6122"
"RED DE ALTA VELOCIDAD (RAV)","03410"
"RED DE ALTA VELOCIDAD (RAV)","03411"
"RED DE ALTA VELOCIDAD (RAV)","03412"
"RED DE ALTA VELOCIDAD (RAV)","03413"
"RED DE ALTA VELOCIDAD (RAV)","03414"
"RED DE ALTA VELOCIDAD (RAV)","C0748"
"RED DE ALTA VELOCIDAD (RAV)","C0743"
"RED DE ALTA VELOCIDAD (RAV)","C0744"
"RED DE ALTA VELOCIDAD (RAV)","C0745"
"RED DE ALTA VELOCIDAD (RAV)","C0746"
"RED DE ALTA VELOCIDAD (RAV)","C0747"
"RED DE ALTA VELOCIDAD (RAV)","C0800"
"RC NORTE","C1124"
"RED DE ALTA VELOCIDAD (RAV)","C4051"
"RED DE ALTA VELOCIDAD (RAV)","C4052"
"RED DE ALTA VELOCIDAD (RAV)","C4053"
"RED DE ALTA VELOCIDAD (RAV)","C4350"
"RED DE ALTA VELOCIDAD (RAV)","C4351"
"RED DE ALTA VELOCIDAD (RAV)","C4352"
"RED DE ALTA VELOCIDAD (RAV)","C4353"
"RED DE ALTA VELOCIDAD (RAV)","C4354"
"RED DE ALTA VELOCIDAD (RAV)","C4355"
"RED DE ALTA VELOCIDAD (RAV)","C4356"
"RED DE ALTA VELOCIDAD (RAV)","C4357"
"RED DE ALTA VELOCIDAD (RAV)","C4358"
"RED DE ALTA VELOCIDAD (RAV)","C4359"
"RED DE ALTA VELOCIDAD (RAV)","C4364"
"RED DE ALTA VELOCIDAD (RAV)","C4365"
"RED DE ALTA VELOCIDAD (RAV)","C4366"
"RED DE ALTA VELOCIDAD (RAV)","C4367"
"RED DE ALTA VELOCIDAD (RAV)","C4368"
"RED DE ALTA VELOCIDAD (RAV)","C4369"
"RED DE ALTA VELOCIDAD (RAV)","C0318"
"RED DE ALTA VELOCIDAD (RAV)","C0319"
"RC CENTRO","C0401"
"RC CENTRO","C0402"
"RC CENTRO","C0403"
"RED DE ALTA VELOCIDAD (RAV)","C3309"
"RED DE ALTA VELOCIDAD (RAV)","C3310"
"RED DE ALTA VELOCIDAD (RAV)","C3311"
"RED DE ALTA VELOCIDAD (RAV)","C3730"
"RED DE ALTA VELOCIDAD (RAV)","C4050"
"RC NORESTE","C7810"
"RC NORESTE","C7811"
"RC NORESTE","C7812"
"RC NORESTE","C7813"
"RC NORESTE","C7814"
"RC NORESTE","C7815"
"RC NORESTE","C7816"
"RC NORESTE","C7817"
"RC NORESTE","C7818"
"RC NORESTE","C7819"
"RC NORESTE","C7820"
"RED DE ALTA VELOCIDAD (RAV)","C8000"
"RED DE ALTA VELOCIDAD (RAV)","C8001"
"RED DE ALTA VELOCIDAD (RAV)","C9212"
"RED DE ALTA VELOCIDAD (RAV)","C9213"
"RED DE ALTA VELOCIDAD (RAV)","C9214"
"RC NOROESTE","C3320"
"RC NOROESTE","C3321"
"RC NOROESTE","C3322"
"RC NOROESTE","C3323"
"RC CENTRO","C1100"
"RC NORTE","C1110"
"RC NORTE","C1111"
"RC NORTE","C1112"
"RC NORTE","C1113"
"RC NORTE","C1114"
"RC NORTE","C1115"
"RC NORTE","C1116"
"RC NORTE","C1117"
"RC NORTE","C1118"
"RC NORTE","C1119"
"RC NORTE","C1120"
"RC NORTE","C1121"
"RC NORTE","C1122"
"RC NORTE","C1123"
"RC NOROESTE","C1450"
"RC NOROESTE","C1451"
"RC NOROESTE","C1452"
"RC NOROESTE","C1453"
"RC NOROESTE","C1454"
"RC NORTE","C1455"
"RC NOROESTE","C1456"
"RC NOROESTE","C1457"
"RC NOROESTE","C1458"
"RC NORTE","C1459"
"RC NOROESTE","C1460"
"RC NORTE","C1461"
"RC NORTE","C1462"
"RC NORTE","C1463"
"RC NORTE","C1464"
"RC NORTE","C1465"
"RC NORTE","C8010"
"RC NORTE","C8011"
"RC NORTE","C8012"
"RC NORTE","C8013"
"RC NORTE","C8014"
"RED DE ALTA VELOCIDAD (RAV)","C4361"
"RED DE ALTA VELOCIDAD (RAV)","C4362"
"RED DE ALTA VELOCIDAD (RAV)","C4363"
"RC NOROESTE","C2000"
"RC NOROESTE","C2001"
"RC NOROESTE","C2002"
"RC NOROESTE","C2003"
"RC NOROESTE","C2004"
"RC NOROESTE","C2005"
"RC NOROESTE","C2006"
"RC NOROESTE","C2007"
"RC NOROESTE","C2008"
"RC NOROESTE","C2009"
"RC NOROESTE","C2010"
"RC NOROESTE","C3100"
"RC NOROESTE","C3101"
"RC NOROESTE","C3102"
"RC NOROESTE","C3103"
"RC CENTRO","C3104"
"RC CENTRO","C3105"
"RC SUR","C0500"
"RC SUR","C0502"
"RC SUR","C0600"
"RC SUR","C0601"
"RC SUR","C0602"
"RC ESTE","C0610"
"RC ESTE","C0611"
"RC ESTE","C0612"
"RC CENTRO","C3502"
"RC CENTRO","C3503"
"RC CENTRO","C6001"
"RC CENTRO","C6010"
"RC CENTRO","C6013"
"RC CENTRO","C6014"
"RC ESTE","C6015"
"RC ESTE","C6016"
"RC ESTE","C6017"
"RC ESTE","C6018"
"RC ESTE","C6019"
"RC ESTE","C6020"
"RC ESTE","C6021"
"RC ESTE","C6022"
"RC ESTE","C6023"
"RC ESTE","C6024"
"RC ESTE","C6025"
"RC ESTE","C6026"
"RC ESTE","C6112"
"RC ESTE","C6113"
"RC ESTE","C6201"
"RC ESTE","C6202"
"RC ESTE","C6203"
"RC ESTE","C6204"
"RC ESTE","C6205"
"RC ESTE","C6206"
"RC ESTE","C6207"
"RC ESTE","C6208"
"RC ESTE","C6209"
"RC ESTE","C6210"
"RC ESTE","C6211"
"RC ESTE","C6214"
"RC ESTE","C6605"
"RC ESTE","C6901"
"RC ESTE","C6902"
"RC ESTE","C6903"
"RC ESTE","C6904"
"RC SUR","C0100"
"RC SUR","C0101"
"RC SUR","C0102"
"RC SUR","C0103"
"RC SUR","C0104"
"RC SUR","C0105"
"RC SUR","C0106"
"RC SUR","C0130"
"RC SUR","C0131"
"RC SUR","C0132"
"RC SUR","C0133"
"RC SUR","C0140"
"RC SUR","C0141"
"RC SUR","C0142"
"RC SUR","C0143"
"RC SUR","C0144"
"RC SUR","C0301"
"RC SUR","C0302"
"RC NORESTE","C7032"
"RC NORESTE","C7033"
"RC NORESTE","C7034"
"RC NORESTE","C7035"
"RC NORESTE","C7036"
"RC NORESTE","C7037"
"RC NORESTE","C7038"
"RC NORESTE","C7039"
"RC NORESTE","C7040"
"RC NORESTE","C7041"
"RC NORESTE","C7042"
"RC NORESTE","C7043"
"RC NORESTE","C7044"
"RC NORESTE","C7045"
"RC NORESTE","C7046"
"RC NORESTE","C7047"
"RC NORESTE","C7048"
"RC NORESTE","C7049"
"RC NORESTE","C7050"
"RC NORESTE","C7051"
"RC NORESTE","C7052"
"RC NORESTE","C7053"
"RC NORESTE","C7054"
"RC NORESTE","C7055"
"RC NORESTE","C7056"
"RC NORESTE","C7057"
"RC NORESTE","C7058"
"RC NORESTE","C7059"
"RC NORESTE","C7060"
"RC NORESTE","C7061"
"RC NORESTE","C7062"
"RC NORESTE","C7063"
"RC NORESTE","C7064"
"RC NORESTE","C7065"
"RC NORESTE","C7066"
"RC NORESTE","C7067"
"RC NORESTE","C7068"
"RC NORESTE","C7069"
"RC NORESTE","C7070"
"RC NORESTE","C7071"
"RC ESTE","C6502"
"RC ESTE","C6503"
"RC ESTE","C6504"
"RC ESTE","C6505"
"RC ESTE","C6506"
"RC ESTE","C6507"
"RC ESTE","C6508"
"RC ESTE","C6509"
"RC ESTE","C6510"
"RC ESTE","C6511"
"RC NORESTE","C6512"
"RC NORESTE","C6513"
"RC NORESTE","C6514"
"RC NORESTE","C6515"
"RC NORESTE","C6516"
"RC ESTE","C6528"
"RC ESTE","C6529"
"RC ESTE","C6530"
"RC CENTRO","C7020"
"RC CENTRO","C7021"
"RC CENTRO","C7022"
"RC NORESTE","C7025"
"RC NORESTE","C7026"
"RC NORESTE","C7027"
"RC NORESTE","C7028"
"RC NORESTE","C7029"
"RC NORESTE","C7030"
"RC NORESTE","C7031"
"RC ESTE","C6518"
"RC NORESTE","C6519"
"RC NORESTE","C6520"
"RC NORESTE","C6521"
"RC NORESTE","C6522"
"RC NORESTE","C6523"
"RC NORESTE","C6524"
"RC ESTE","C6525"
"RC ESTE","C6526"
"RC ESTE","C6527"
"RC SUR","C4400"
"RC SUR","C4401"
"RC SUR","C7000"
"RC SUR","C7001"
"RC SUR","C7002"
"RC SUR","C0603"
"RC SUR","C0604"
"RC SUR","C0605"
"RC SUR","C0606"
"RC SUR","C0607"
"RC SUR","C0608"
"RC SUR","C0609"
"RC CENTRO","C3500"
"RC CENTRO","C3501"
"RC SUR","C3600"
"RC SUR","C3601"
"RC SUR","C3603"
"RC CENTRO","C3700"
"RC SUR","C5500"
"RC SUR","C5502"
"RC SUR","C5510"
"RC SUR","C5511"
"RC CENTRO","C9832"
